sensor_id,site_name,lon,lat,flood_risk,flood_time
EWS380,Sg Bedok (Upper Changi Rd East d/s culvert),103.9521,1.3294,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 20:00|2023-05-29 20:00|2023-05-29 21:00|2023-05-29 21:00|2023-05-29 23:00|2023-05-30 00:00|2023-05-30 01:00|2023-05-30 01:00|2023-05-30 02:00|2023-05-30 02:00|2023-05-30 02:00|2023-05-30 03:00|2023-05-30 04:00
EWS381,Sg Bedok (Bedok North Ave 4 d/s culvert),103.9443,1.3355,high,2023-05-29 06:00|2023-05-29 08:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 20:00|2023-05-29 23:00|2023-05-30 02:00|2023-05-30 04:00
EWS382,Sg Bedok (Bedok North Ave 4 u/s culvert),103.9431,1.3357,high,2023-05-29 05:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 23:00|2023-05-30 00:00|2023-05-30 01:00|2023-05-30 03:00|2023-05-30 04:00
EWS395,Bedok North St 2/Bedok North Rd,103.9398,1.3277,low,
WWS001,Alexandra Rd/ Telok Blangah Rd,103.8029,1.2729,low,
WWS005,Bt Timah Canal (Rifle Range Rd),103.7816,1.3367,medium,
WWS016,Sg Ulu Pandan (Sunset Walk),103.7673,1.3229,medium,
WWS021,Ulu Pandan Canal (Pine Grove),103.7752,1.316,medium,
WWS037,Jurong Industrial Estate OD (Jln Buroh),103.702,1.3144,medium,
WWS040,Sg Bangkong (West Coast Rd),103.7599,1.3109,medium,
WWS042,Sg Pandan Kechil (NUS),103.7768,1.3008,high,2023-05-29 11:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 19:00
WWS044,Sg Tengah Rd/ Sg Tengah Agrotechnology Pk,103.7312,1.3825,medium,
WWS045,Mayfair OD (Sime Darby Centre),103.7832,1.3365,high,2023-05-29 06:00|2023-05-29 08:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 13:00|2023-05-29 16:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 21:00
WWS060,Sg Pandan Kechil (College Link),103.7734,1.3029,medium,
WWS078,Wenya Earth Drain (Jurong West Ave 2),103.7143,1.3576,medium,
WWS080,Sungei Pang Sua SD(Sungei Kadut Ave),103.7546,1.4067,medium,
WWS081,Woodlands Rd/Sg Kadut Ave,103.7558,1.408,medium,
WWS084,Sunset Dr/Sunset way,103.7661,1.3259,low,
WWS089,Gul Way/Pioneer Rd,103.6707,1.311,low,
WWS091,JIE OD (Enterprise Rd),103.707,1.3335,medium,
WWS094,Gul Circle,103.6765,1.3126,low,
WWS096,Chin Bee Ave / Third Chin Bee Rd,103.7149,1.334,low,
WWS098,Sg Pandan Kechil (West Coast Highway),103.7632,1.3015,medium,
WWS099,Ulu Pandan Rd / Clementi Rd,103.7714,1.3194,low,
WWS103,Upp Bt Timah OD (ESPA),103.7648,1.3694,medium,
WWS107,Commonwealth Dr/ Commonwealth Lane,103.7976,1.3037,low,
WWS108,Commonwealth Lane (Opp CERTIS),103.7974,1.3044,medium,
WWS110,Kampung Bahru Road/ Silat Road,103.8319,1.2765,medium,
WWS112,Jurong East St 32 (Blk 311),103.7322,1.348,medium,
WWS113,Wan Lee Rd/ Enterprise Rd,103.7055,1.3331,medium,
WWS114,Jalan Boon Lay (Bus stop B21339),103.7083,1.3304,high,2023-05-29 13:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-30 03:00
WWS116,Choa Chu Kang Avenue 1/ Teck Wye Lane,103.7497,1.3807,low,
WWS117,Yuan Ching Rd / Yung Kuang Rd,103.7248,1.3316,low,
WWS120,Commonwealth Lane /Commonwealth Dr,103.7974,1.3045,high,2023-05-29 07:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 21:00|2023-05-29 22:00
WWS122,Boon Lay Way (Blk 201),103.7156,1.3429,low,
